"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"14069","PA4440008","130982219003","S","01-JUL-13","SOX",NA,NA
"14070","PA4440008","130982220003","S","01-JUL-13","SIF",NA,NA
"14071","PA4440008","133251312005","S","27-MAR-13","SFJ",NA,NA
"14072","PA4440008","133913018008","S","14-SEP-13","SIA",NA,NA
"14073","PA4440008","140853624002","S","12-FEB-14","SIA",NA,NA
"14074","PA4440008","141458424004","S","15-MAR-14","SIA",NA,NA
"14075","PA4440008","141935024006","S","14-MAY-14","SIA",NA,NA
"14076","PA4440008","142810224008","S","14-AUG-14","SFJ",NA,NA
"14077","PA4440008","150692330001","S","10-FEB-15","SIA",NA,NA
"14078","PA4440008","150692331001","S","10-FEB-15","SIE",NA,NA
"14079","PA4440008","150692332001","S","27-APR-15","SIF",NA,NA
"14080","PA4440008","150692333001","S","27-APR-15","SOX",NA,NA
"14081","PA4440008","150853625002","S","03-MAR-15","SOX",NA,NA
"14082","PA4440008","151132230004","S","03-MAR-15","SIA",NA,NA
"14083","PA4440008","151132231004","S","03-MAR-15","SOX",NA,NA
"14084","PA4440008","152488830014","S","10-SEP-15","SFH",NA,NA
"14085","PA4440008","152488831014","S","10-SEP-15","SIF",NA,NA
"14086","PA4440008","152488832014","S","10-SEP-15","SOX",NA,NA
"14087","PA4440008","153779724010","S","15-NOV-14","SIA",NA,NA
"14088","PA4440008","163576736004","S","02-SEP-16","SFJ",NA,NA
"14089","PA4440008","170823542002","S","30-JAN-17","SIA",NA,NA
"14090","PA4440008","170823544002","S","30-JAN-17","SOX",NA,NA
"14091","PA4440008","181824943003","S","15-AUG-18","SOX",NA,NA
"14092","PA4440008","182650448002","S","13-SEP-18","SIA",NA,NA
"14093","PA4440008","182650449002","S","13-SEP-18","SIE",NA,NA
"14094","PA4440008","182650548004","S","13-SEP-18","SIF",NA,NA
"14095","PA4440008","182650549004","S","13-SEP-18","SOX",NA,NA
"14096","PA4440008","183576737004","S","23-AUG-18","SOX",NA,NA
"14097","PA4440008","190272355001","S","17-JAN-19","SOX",NA,NA
"14098","PA4440008","190774954003","S","13-FEB-19","SIA",NA,NA
"14099","PA4440008","190774955003","S","13-FEB-19","SIE",NA,NA
"14100","PA4440008","192650451002","S","15-APR-19","SOX",NA,NA
"14101","PA4440010","90618784001","S","10-MAR-09","SFJ",NA,NA
"14102","PA4440010","90618784008","S","10-MAR-09","SFJ",NA,NA
"14103","PA4440010","90618785001","S","31-MAR-09","SOX",NA,NA
"14104","PA4440010","90618785008","S","31-MAR-09","SOX",NA,NA
"14105","PA4440010","90620884029","S","10-MAR-09","SIB",NA,NA
"14106","PA4440010","90620885029","S","10-MAR-09","SOX",NA,NA
"14107","PA4440010","91385684031","S","07-MAY-09","SIA",NA,NA
"14108","PA4440010","91385685031","S","07-MAY-09","SOX",NA,NA
"14109","PA4440010","100618786001","S","04-MAY-10","SIF",NA,NA
"14110","PA4440010","11067696001","S","04-FEB-11","SIA",NA,NA
"14111","PA4440010","11067697001","S","04-FEB-11","SOX",NA,NA
"14112","PA4440010","120897712001","S","10-MAY-12","SFJ",NA,NA
"14113","PA4440010","120897713001","S","10-MAY-12","SIF",NA,NA
"14114","PA4440010","120897714001","S","10-MAY-12","SOX",NA,NA
"14115","PA4440010","120898812001","S","10-MAY-12","SFJ",NA,NA
"14116","PA4440010","12287596002","S","30-JUN-12","SIA",NA,NA
"14117","PA4440010","12287597002","S","30-JUN-12","SOX",NA,NA
"14118","PA4440010","130898813001","S","10-MAR-13","SOX",NA,NA
"14119","PA4440010","130898814001","S","10-MAR-13","SIF",NA,NA
"14120","PA4440010","131561418001","S","10-MAR-13","SIF",NA,NA
"14121","PA4440010","131561419001","S","08-MAY-13","SOX",NA,NA
"14122","PA4440010","140853824001","S","12-FEB-14","SIA",NA,NA
"14123","PA4440010","142123124004","S","14-MAY-14","SIA",NA,NA
"14124","PA4440010","144565618001","S","15-NOV-13","SIA",NA,NA
"14125","PA4440010","144565619001","S","05-SEP-14","SOX",NA,NA
"14126","PA4440010","152488930001","S","10-SEP-15","SFJ",NA,NA
"14127","PA4440010","152488930008","S","10-SEP-15","SFJ",NA,NA
"14128","PA4440010","160853825001","S","25-JAN-16","SOX",NA,NA
"14129","PA4440010","161896037001","S","19-MAY-16","SOX",NA,NA
"14130","PA4440010","162488931001","S","03-NOV-15","SOX",NA,NA
"14131","PA4440010","171422242001","S","23-FEB-17","SFJ",NA,NA
"14132","PA4440010","171422244001","S","15-MAR-17","SOX",NA,NA
"14133","PA4440010","172691543003","S","16-AUG-17","SOX",NA,NA
"14134","PA4440010","180669049002","S","12-FEB-18","SOX",NA,NA
"14135","PA4440010","183585543004","S","14-NOV-17","SOX",NA,NA
"14136","PA3060085","10186861","S","30-AUG-10","SIA",NA,NA
"14137","PA3060085","10186862001","S","30-AUG-10","SOX",NA,NA
"14138","PA3060085","122708512001","S","21-JUN-12","SIA",NA,NA
"14139","PA3060085","122708514001","S","16-JUL-12","SOX",NA,NA
"14140","PA3060085","152456330001","S","09-SEP-15","SFJ",NA,NA
"14141","PA3060085","152456331001","S","09-SEP-15","SIE",NA,NA
"14142","PA3060085","172456332001","S","18-JAN-17","SIF",NA,NA
"14143","PA3060085","172456333001","S","18-JAN-17","SOX",NA,NA
"14144","PA3060085","192782948001","S","02-OCT-18","SIA",NA,NA
"14145","PA3060085","192782950001","S","15-OCT-18","SOX",NA,NA
"14146","PA3060087","90038186001","S","13-APR-09","SIF",NA,NA
"14147","PA3060087","90038187001","S","13-APR-09","SOX",NA,NA
"14148","PA3060087","91717984002","S","04-AUG-09","SIA",NA,NA
"14149","PA3060087","91717986002","S","04-AUG-09","SOX",NA,NA
"14150","PA3060087","121933012001","S","30-APR-12","SIA",NA,NA
"14151","PA3060087","121933014001","S","19-JUL-12","SOX",NA,NA
"14152","PA3060087","133858118001","S","18-SEP-13","SIA",NA,NA
"14153","PA3060087","133858118002","S","18-SEP-13","SIA",NA,NA
"14154","PA3060087","134227512001","S","05-NOV-12","SIC",NA,NA
"14155","PA3060087","134227513001","S","05-NOV-12","SIE",NA,NA
"14156","PA3060087","134227514001","S","18-APR-13","SOX",NA,NA
"14157","PA3060087","143858120001","S","01-OCT-13","SOX",NA,NA
"14158","PA3060087","144227515001","S","21-NOV-13","SIF",NA,NA
"14159","PA3060087","151653930004","S","26-MAY-15","SIA",NA,NA
"14160","PA3060087","151653932004","S","30-JUN-15","SOX",NA,NA
"14161","PA3060087","161328636001","S","29-MAR-16","SIA",NA,NA
"14162","PA3060087","161328638001","S","29-MAR-16","SOX",NA,NA
"14163","PA3060087","162104836002","S","25-MAY-16","SIA",NA,NA
"14164","PA3060087","162104838002","S","25-MAY-16","SOX",NA,NA
"14165","PA3060087","162287936003","S","24-JUN-16","SIA",NA,NA
"14166","PA3060087","162287938003","S","28-JUL-16","SOX",NA,NA
"14167","PA3060087","162817336004","S","26-JUL-16","SIA",NA,NA
"14168","PA3060087","162817338004","S","26-JUL-16","SOX",NA,NA
"14169","PA3060087","174117136005","S","10-NOV-16","SFJ",NA,NA
"14170","PA3060087","174117137005","S","10-NOV-16","SIE",NA,NA
"14171","PA3060087","174117138005","S","23-NOV-16","SOX",NA,NA
"14172","PA3060088","90457984001","S","12-FEB-09","SFJ",NA,NA
"14173","PA3060088","90457985001","S","12-FEB-09","SIE",NA,NA
"14174","PA3060088","90457986001","S","12-FEB-09","SOX",NA,NA
"14175","PA3060088","90457987001","S","13-MAR-09","SIF",NA,NA
"14176","PA3060088","121448012003","S","02-MAR-12","SIA",NA,NA
"14177","PA3060088","121448014003","S","02-MAR-12","SOX",NA,NA
"14178","PA3060088","142683124001","S","28-JUL-14","SIA",NA,NA
"14179","PA3060088","142683126001","S","28-JUL-14","SOX",NA,NA
"14180","PA3060088","143149524001","S","28-AUG-14","SIA",NA,NA
"14181","PA3060088","143149524003","S","28-AUG-14","SIA",NA,NA
"14182","PA3060088","143149525001","S","28-AUG-14","SIE",NA,NA
"14183","PA3060088","143149525003","S","28-AUG-14","SIE",NA,NA
"14184","PA3060088","153149526001","S","09-MAR-15","SIF",NA,NA
"14185","PA3060088","153149527001","S","09-MAR-15","SOX",NA,NA
"14186","PA3060088","180540448001","S","16-FEB-18","SIA",NA,NA
"14187","PA3060088","180540449001","S","10-APR-18","SIE",NA,NA
"14188","PA3060088","180540450001","S","06-JUN-18","SIF",NA,NA
"14189","PA3060088","180540451001","S","06-JUN-18","SOX",NA,NA
"14190","PA3060092","10186871","S","31-AUG-10","SIA",NA,NA
"14191","PA3060092","10186872001","S","31-AUG-10","SOX",NA,NA
"14192","PA3060092","11016436001","S","10-JAN-11","SIA",NA,NA
"14193","PA3060092","11016438001","S","02-FEB-11","SOX",NA,NA
"14194","PA3060092","122708612001","S","19-JUN-12","SFJ",NA,NA
"14195","PA3060092","122708613001","S","19-JUN-12","SIE",NA,NA
"14196","PA3060092","123056312002","S","01-AUG-12","SFJ",NA,NA
"14197","PA3060092","123056313002","S","01-AUG-12","SIE",NA,NA
"14198","PA3060092","123653812003","S","14-SEP-12","SIA",NA,NA
"14199","PA3060092","123653813003","S","14-SEP-12","SIE",NA,NA
"14200","PA3060092","132708614001","S","02-APR-13","SOX",NA,NA
"14201","PA3060092","132708615001","S","17-APR-13","SIF",NA,NA
"14202","PA3060092","133858218003","S","11-SEP-13","SIA",NA,NA
"14203","PA3060092","133858220003","S","17-SEP-13","SOX",NA,NA
"14204","PA3060092","134229512004","S","06-NOV-12","SFJ",NA,NA
"14205","PA3060092","134229513004","S","06-NOV-12","SIE",NA,NA
"14206","PA3060092","143149824001","S","25-AUG-14","SIA",NA,NA
"14207","PA3060092","143149826001","S","27-AUG-14","SOX",NA,NA
"14208","PA3060092","152456430001","S","08-SEP-15","SIA",NA,NA
"14209","PA3060092","152456432001","S","09-SEP-15","SOX",NA,NA
"14210","PA3060092","181944748001","S","09-JUL-18","SIA",NA,NA
"14211","PA3060092","181944750001","S","16-AUG-18","SOX",NA,NA
"14212","PA3060092","182595548002","S","06-SEP-18","SIA",NA,NA
"14213","PA3060092","182595550002","S","06-SEP-18","SOX",NA,NA
"14214","PA3060092","192783048003","S","03-OCT-18","SIA",NA,NA
"14215","PA3060092","192783050003","S","09-OCT-18","SOX",NA,NA
"14216","PA3060094","11122257002","S","08-APR-11","SIA",NA,NA
"14217","PA3060094","11122258002","S","08-APR-11","SOX",NA,NA
"14218","PA3060094","11223297003","S","08-JUL-11","SIA",NA,NA
"14219","PA3060094","11223298003","S","08-JUL-11","SOX",NA,NA
"14220","PA3060094","12350696001","S","04-OCT-11","SIA",NA,NA
"14221","PA3060094","12350698001","S","21-NOV-11","SOX",NA,NA
"14222","PA3060094","143149924001","S","28-AUG-14","SIA",NA,NA
"14223","PA3060094","152456530001","S","02-SEP-15","SIA",NA,NA
"14224","PA3060094","152456532001","S","02-SEP-15","SOX",NA,NA
"14225","PA3060094","153149926001","S","20-NOV-14","SOX",NA,NA
"14226","PA3060094","161827236001","S","21-JUL-16","SFJ",NA,NA
"14227","PA3060094","161827237001","S","21-JUL-16","SIE",NA,NA
"14228","PA3060094","161827238001","S","11-AUG-16","SIF",NA,NA
"14229","PA3060094","161827339003","S","11-AUG-16","SOX",NA,NA
"14230","PA3060094","162817636002","S","14-SEP-16","SIA",NA,NA
"14231","PA3060094","162817638002","S","14-SEP-16","SOX",NA,NA
"14232","PA3060094","180216248001","S","22-JAN-18","SIA",NA,NA
"14233","PA3060094","180216250001","S","22-JAN-18","SOX",NA,NA
"14234","PA3060094","183493142001","S","29-NOV-17","SFJ",NA,NA
"14235","PA3060094","183493143001","S","29-NOV-17","SIE",NA,NA
"14236","PA3060094","183493144001","S","22-JAN-18","SIF",NA,NA
"14237","PA3060094","183493145001","S","22-JAN-18","SOX",NA,NA
"14238","PA3060094","191944848002","S","22-OCT-18","SIA",NA,NA
"14239","PA3060094","191944850002","S","22-OCT-18","SOX",NA,NA
"14240","PA3060095","90461984001","S","30-JAN-09","SFJ",NA,NA
"14241","PA3060095","90461985001","S","30-JAN-09","SIE",NA,NA
"14242","PA3060095","90461986001","S","16-JUN-09","SIF",NA,NA
"14243","PA3060095","90461987001","S","16-JUN-09","SOX",NA,NA
"14244","PA3060095","121554212001","S","26-MAR-12","SIA",NA,NA
"14245","PA3060095","121554214001","S","12-APR-12","SOX",NA,NA
"14246","PA3060095","123940110001","S","18-JUL-12","SIF",NA,NA
"14247","PA3060095","123940111001","S","18-JUL-12","SOX",NA,NA
"14248","PA3060095","12394018001","S","22-NOV-11","SFJ",NA,NA
"14249","PA3060095","12394019001","S","22-NOV-11","SIE",NA,NA
"14250","PA3060095","140215624001","S","06-JAN-14","SIA",NA,NA
"14251","PA3060095","140215625001","S","06-JAN-14","SIE",NA,NA
"14252","PA3060095","140215626001","S","29-JAN-14","SOX",NA,NA
"14253","PA3060095","150215627001","S","22-JAN-15","SIF",NA,NA
"14254","PA3060095","172589242001","S","24-JUL-17","SFJ",NA,NA
"14255","PA3060095","172589243001","S","24-JUL-17","SIE",NA,NA
"14256","PA3060095","172589544004","S","01-SEP-17","SOX",NA,NA
"14257","PA3060095","174117236001","S","26-OCT-16","SFJ",NA,NA
"14258","PA3060095","174117237001","S","26-OCT-16","SIE",NA,NA
"14259","PA3060095","174117238001","S","08-JUN-17","SOX",NA,NA
"14260","PA3060095","174117436003","S","26-OCT-16","SIA",NA,NA
"14261","PA3060095","174117438003","S","14-DEC-16","SOX",NA,NA
"14262","PA3060095","184117239001","S","02-JAN-18","SIF",NA,NA
"14263","PA3060096","10131141001","S","06-MAY-10","SIA",NA,NA
"14264","PA3060096","10131142001","S","07-MAY-10","SOX",NA,NA
"14265","PA3060096","10186881003","S","15-SEP-10","SIA",NA,NA
"14266","PA3060096","10186882003","S","15-SEP-10","SOX",NA,NA
"14267","PA3060096","11159406001","S","10-MAY-11","SFJ",NA,NA
"14268","PA3060096","11159407001","S","10-MAY-11","SIE",NA,NA
"14269","PA3060096","11159408001","S","13-JUN-11","SIF",NA,NA
"14270","PA3060096","11159409001","S","13-JUN-11","SOX",NA,NA
"14271","PA3060096","123653912001","S","29-AUG-12","SIA",NA,NA
"14272","PA3060096","123653914001","S","29-AUG-12","SOX",NA,NA
"14273","PA3060096","130727218001","S","08-FEB-13","SFJ",NA,NA
"14274","PA3060096","130727219001","S","08-FEB-13","SIE",NA,NA
"14275","PA3060096","130727220001","S","22-APR-13","SOX",NA,NA
"14276","PA3060096","130728618015","S","28-JAN-13","SIA",NA,NA
"14277","PA3060096","130728620015","S","12-FEB-13","SOX",NA,NA
"14278","PA3060096","130730618035","S","04-FEB-13","SIA",NA,NA
"14279","PA3060096","131510518035","S","06-MAR-13","SIA",NA,NA
"14280","PA3060096","131510518063","S","06-MAR-13","SIA",NA,NA
"14281","PA3060096","131510519035","S","06-MAR-13","SIE",NA,NA
"14282","PA3060096","131510519063","S","06-MAR-13","SIE",NA,NA
"14283","PA3060096","133858318066","S","04-SEP-13","SIA",NA,NA
"14284","PA3060096","133858320066","S","26-SEP-13","SOX",NA,NA
"14285","PA3060096","140727221001","S","02-OCT-13","SIF",NA,NA
"14286","PA3060096","150207530001","S","06-JAN-15","SIA",NA,NA
"14287","PA3060096","150207532001","S","14-JAN-15","SOX",NA,NA
"14288","PA3060096","150547330001","S","05-FEB-15","SFJ",NA,NA
"14289","PA3060096","150547330002","S","05-FEB-15","SFJ",NA,NA
"14290","PA3060096","150547331001","S","05-FEB-15","SIE",NA,NA
"14291","PA3060096","150547331002","S","05-FEB-15","SIE",NA,NA
"14292","PA3060096","150547332001","S","23-FEB-15","SOX",NA,NA
"14293","PA3060096","150547332002","S","23-FEB-15","SOX",NA,NA
"14294","PA3060096","160547333001","S","24-DEC-15","SIF",NA,NA
"14295","PA3060096","191320954001","S","25-MAR-19","SIA",NA,NA
"14296","PA3060096","191320955001","S","04-APR-19","SIE",NA,NA
"14297","PA3060096","193029848001","S","16-JAN-19","SIA",NA,NA
"14298","PA3060096","193029849001","S","16-JAN-19","SIE",NA,NA
"14299","PA3060098","91592084004","S","23-JUN-09","SFJ",NA,NA
"14300","PA3060098","91592085004","S","23-JUN-09","SIE",NA,NA
"14301","PA3060098","91592086004","S","23-JUN-09","SIF",NA,NA
"14302","PA3060098","91592087004","S","23-JUN-09","SOX",NA,NA
"14303","PA3060098","91907284006","S","24-AUG-09","SFJ",NA,NA
"14304","PA3060098","91907285006","S","24-AUG-09","SIE",NA,NA
"14305","PA3060098","91907286006","S","24-AUG-09","SIF",NA,NA
"14306","PA3060098","91907287006","S","24-AUG-09","SOX",NA,NA
"14307","PA3060098","10003591002","S","01-DEC-09","SIE",NA,NA
"14308","PA3060098","10003592","S","01-DEC-09","SFJ",NA,NA
"14309","PA3060098","10003592002","S","01-DEC-09","SIF",NA,NA
"14310","PA3060098","10003593002","S","01-DEC-09","SOX",NA,NA
"14311","PA3060098","10198301004","S","27-SEP-10","SIE",NA,NA
"14312","PA3060098","10198302004","S","27-SEP-10","SIF",NA,NA
"14313","PA3060098","10198303004","S","27-SEP-10","SOX",NA,NA
"14314","PA3060098","10198304","S","27-SEP-10","SFJ",NA,NA
"14315","PA3060098","102025884002","S","05-OCT-09","SFJ",NA,NA
"14316","PA3060098","102025885002","S","05-OCT-09","SIE",NA,NA
"14317","PA3060098","102025886002","S","05-OCT-09","SIF",NA,NA
"14318","PA3060098","102025887002","S","05-OCT-09","SOX",NA,NA
"14319","PA3060098","102189784004","S","02-NOV-09","SFJ",NA,NA
"14320","PA3060098","102189785004","S","02-NOV-09","SIE",NA,NA
"14321","PA3060098","102189786004","S","02-NOV-09","SIF",NA,NA
"14322","PA3060098","102189787004","S","02-NOV-09","SOX",NA,NA
"14323","PA3060098","11004516001","S","10-JAN-11","SIA",NA,NA
"14324","PA3060098","11004518001","S","18-FEB-11","SOX",NA,NA
"14325","PA3060098","11004527002","S","10-JAN-11","SIE",NA,NA
"14326","PA3060098","11004528002","S","18-FEB-11","SIF",NA,NA
"14327","PA3060098","123654112004","S","22-AUG-12","SFJ",NA,NA
"14328","PA3060098","123654113004","S","22-AUG-12","SIE",NA,NA
"14329","PA3060098","123654114004","S","22-AUG-12","SIF",NA,NA
"14330","PA3060098","123654115004","S","22-AUG-12","SOX",NA,NA
"14331","PA3060098","132570318002","S","23-MAY-13","SIA",NA,NA
"14332","PA3060098","132570320002","S","02-JUL-13","SOX",NA,NA
"14333","PA3060098","140059724005","S","17-DEC-13","SIA",NA,NA
"14334","PA3060098","140059725005","S","13-AUG-14","SIC",NA,NA
"14335","PA3060098","140059726005","S","13-AUG-14","SOX",NA,NA
"14336","PA3060098","150207730001","S","29-DEC-14","SIA",NA,NA
"14337","PA3060098","150207731001","S","29-DEC-14","SIE",NA,NA
"14338","PA3060098","150207732001","S","29-DEC-14","SIF",NA,NA
"14339","PA3060098","150207733001","S","29-DEC-14","SOX",NA,NA
"14340","PA3060098","151425430002","S","15-JUN-15","SFJ",NA,NA
"14341","PA3060098","151425431002","S","15-JUN-15","SIE",NA,NA
"14342","PA3060098","151425432002","S","28-AUG-15","SIF",NA,NA
"14343","PA3060098","151425433002","S","28-AUG-15","SOX",NA,NA
"14344","PA3060098","160068736014","S","14-DEC-15","SIA",NA,NA
"14345","PA3060098","160068738014","S","13-JAN-16","SOX",NA,NA
"14346","PA3060098","160068836001","S","01-DEC-15","SIA",NA,NA
"14347","PA3060098","160068837001","S","01-DEC-15","SIE",NA,NA
"14348","PA3060098","160068838001","S","07-DEC-15","SIF",NA,NA
"14349","PA3060098","160068839001","S","07-DEC-15","SOX",NA,NA
"14350","PA3060098","160603436003","S","10-FEB-16","SIA",NA,NA
"14351","PA3060098","160603437003","S","10-FEB-16","SIE",NA,NA
"14352","PA3060098","160603438003","S","10-FEB-16","SIF",NA,NA
"14353","PA3060098","160603439003","S","10-FEB-16","SOX",NA,NA
"14354","PA3060098","162288036011","S","19-AUG-16","SIA",NA,NA
"14355","PA3060098","162288038011","S","19-AUG-16","SOX",NA,NA
"14356","PA3060098","162288137004","S","19-AUG-16","SIE",NA,NA
"14357","PA3060098","162288138004","S","19-AUG-16","SIF",NA,NA
"14358","PA3060098","162817738005","S","14-SEP-16","SOX",NA,NA
"14359","PA3060098","163532136007","S","14-SEP-16","SIA",NA,NA
"14360","PA3060100","11270157003","S","31-AUG-11","SIA",NA,NA
"14361","PA3060100","11270158003","S","31-AUG-11","SOX",NA,NA
"14362","PA3060100","11335716004","S","30-AUG-11","SIA",NA,NA
"14363","PA3060100","11335717004","S","30-AUG-11","SIE",NA,NA
"14364","PA3060100","11335718004","S","30-AUG-11","SIF",NA,NA
"14365","PA3060100","11335719004","S","30-AUG-11","SOX",NA,NA
"14366","PA3060100","122550412001","S","30-MAY-12","SIA",NA,NA
"14367","PA3060100","122550414001","S","12-JUN-12","SOX",NA,NA
"14368","PA3060100","123654212002","S","23-AUG-12","SIA",NA,NA
"14369","PA3060100","123654214002","S","23-AUG-12","SOX",NA,NA
"14370","PA3060100","142683324001","S","24-JUL-14","SFJ",NA,NA
"14371","PA3060100","142683325001","S","24-JUL-14","SIE",NA,NA
"14372","PA3060100","142683326001","S","24-SEP-14","SIF",NA,NA
"14373","PA3060100","142683327001","S","24-SEP-14","SOX",NA,NA
"14374","PA3060100","143150024002","S","22-AUG-14","SIA",NA,NA
"14375","PA3060100","143150025002","S","22-AUG-14","SIE",NA,NA
"14376","PA3060100","143150026002","S","22-AUG-14","SIF",NA,NA
"14377","PA3060100","143150027002","S","22-AUG-14","SOX",NA,NA
"14378","PA3060100","150547530001","S","06-FEB-15","SFJ",NA,NA
"14379","PA3060100","150547531001","S","06-FEB-15","SIE",NA,NA
"14380","PA3060100","150547532001","S","30-MAR-15","SIF",NA,NA
"14381","PA3060100","150547533001","S","26-MAY-15","SOX",NA,NA
"14382","PA3060100","151425830043","S","27-APR-15","SIA",NA,NA
"14383","PA3060100","151425832043","S","28-MAY-15","SOX",NA,NA
"14384","PA3060100","151654230046","S","26-MAY-15","SIA",NA,NA
"14385","PA3060100","151654232046","S","30-JUN-15","SOX",NA,NA
"14386","PA3060100","171368642001","S","27-FEB-17","SIA",NA,NA
"14387","PA3060100","171368644001","S","19-APR-17","SOX",NA,NA
"14388","PA3060105","90462084001","S","30-JAN-09","SFJ",NA,NA
"14389","PA3060105","90462085001","S","30-JAN-09","SIE",NA,NA
"14390","PA3060105","90462086001","S","09-FEB-09","SIF",NA,NA
"14391","PA3060105","90462087001","S","09-FEB-09","SOX",NA,NA
"14392","PA3060105","123654312001","S","31-AUG-12","SIA",NA,NA
"14393","PA3060105","123654314001","S","10-SEP-12","SOX",NA,NA
"14394","PA3060105","132096218001","S","23-MAY-13","SFJ",NA,NA
"14395","PA3060105","132096219001","S","23-MAY-13","SIE",NA,NA
"14396","PA3060105","132096220001","S","10-JUL-13","SIF",NA,NA
"14397","PA3060105","132096221001","S","10-JUL-13","SOX",NA,NA
"14398","PA3060105","133751718032","S","16-AUG-13","SIA",NA,NA
"14399","PA3060105","133858418001","S","25-SEP-13","SIA",NA,NA
"14400","PA3060105","133858418033","S","25-SEP-13","SIA",NA,NA
"14401","PA3060105","141851924001","S","06-MAY-14","SFJ",NA,NA
"14402","PA3060105","141851925001","S","06-MAY-14","SIE",NA,NA
"14403","PA3060105","143150224014","S","29-AUG-14","SIA",NA,NA
"14404","PA3060105","143858420001","S","07-OCT-13","SOX",NA,NA
"14405","PA3060105","153150226014","S","08-DEC-14","SOX",NA,NA
"14406","PA3060105","163532436001","S","21-SEP-16","SIA",NA,NA
"14407","PA3060105","163532438001","S","21-SEP-16","SOX",NA,NA
"14408","PA3060105","170675942001","S","16-FEB-17","SFJ",NA,NA
"14409","PA3060105","170675943001","S","16-FEB-17","SIE",NA,NA
"14410","PA3060105","170675944001","S","24-MAY-17","SOX",NA,NA
"14411","PA3060105","171851926001","S","24-MAY-17","SIF",NA,NA
"14412","PA3060105","171851927001","S","24-MAY-17","SOX",NA,NA
"14413","PA3060105","172592042002","S","10-AUG-17","SIA",NA,NA
"14414","PA3060105","174117836002","S","14-NOV-16","SIA",NA,NA
"14415","PA3060105","174117838002","S","14-NOV-16","SOX",NA,NA
"14416","PA3060105","181049848001","S","16-APR-18","SIA",NA,NA
"14417","PA3060105","181049849001","S","23-APR-18","SIF",NA,NA
"14418","PA3060105","181049850001","S","23-APR-18","SOX",NA,NA
"14419","PA3060105","182592043002","S","17-OCT-17","SIE",NA,NA
"14420","PA3060105","182592044002","S","18-OCT-17","SOX",NA,NA
"14421","PA3060106","91520984001","S","08-JUN-09","SIA",NA,NA
"14422","PA3060106","91520986001","S","08-JUN-09","SOX",NA,NA
"14423","PA3060106","11004537001","S","21-DEC-10","SIA",NA,NA
"14424","PA3060106","11004538001","S","21-DEC-10","SOX",NA,NA
"14425","PA3060106","120681312001","S","27-JAN-12","SIA",NA,NA
"14426","PA3060106","120681314001","S","14-FEB-12","SOX",NA,NA
"14427","PA3060106","120681414002","S","23-JUL-12","SOX",NA,NA
"14428","PA3060106","141853224001","S","06-MAY-14","SFJ",NA,NA
"14429","PA3060106","141853225001","S","06-MAY-14","SIE",NA,NA
"14430","PA3060106","141853226001","S","18-AUG-14","SOX",NA,NA
"14431","PA3060106","144440418001","S","01-NOV-13","SIA",NA,NA
"14432","PA3060106","144440420001","S","14-NOV-13","SOX",NA,NA
"14433","PA3060106","150551630001","S","23-JAN-15","SIA",NA,NA
"14434","PA3060106","151655630005","S","29-MAY-15","SIA",NA,NA
"14435","PA3060106","151655631005","S","29-MAY-15","SIE",NA,NA
"14436","PA3060106","151655632005","S","22-JUN-15","SIF",NA,NA
"14437","PA3060106","151655633005","S","22-JUN-15","SOX",NA,NA
"14438","PA3060106","151853227001","S","22-JUN-15","SIF",NA,NA
"14439","PA3060106","161214936001","S","29-FEB-16","SIA",NA,NA
"14440","PA3060106","161214938001","S","29-FEB-16","SOX",NA,NA
"14441","PA3060106","161827436002","S","25-APR-16","SIA",NA,NA
"14442","PA3060106","161827438002","S","25-APR-16","SOX",NA,NA
"14443","PA3060106","162104936003","S","25-MAY-16","SIA",NA,NA
"14444","PA3060106","162104938003","S","25-MAY-16","SOX",NA,NA
"14445","PA3060106","162817936005","S","22-SEP-16","SIA",NA,NA
"14446","PA3060106","162817938005","S","22-SEP-16","SOX",NA,NA
"14447","PA3060106","170551632001","S","27-FEB-17","SOX",NA,NA
"14448","PA3060106","170551832003","S","18-JAN-17","SOX",NA,NA
"14449","PA3060106","171567842001","S","04-APR-17","SIA",NA,NA
"14450","PA3060106","171567844001","S","04-APR-17","SOX",NA,NA
"14451","PA3060108","10186891","S","01-SEP-10","SIA",NA,NA
"14452","PA3060108","10186892001","S","01-SEP-10","SOX",NA,NA
"14453","PA3060108","131666418001","S","27-MAR-13","SIA",NA,NA
"14454","PA3060108","131666420001","S","30-APR-13","SOX",NA,NA
"14455","PA3060108","161215036001","S","29-FEB-16","SIA",NA,NA
"14456","PA3060108","161215038001","S","29-FEB-16","SOX",NA,NA
"14457","PA3060108","173230442001","S","19-SEP-17","SIA",NA,NA
"14458","PA3060108","173230444001","S","19-SEP-17","SOX",NA,NA
"14459","PA3061153","121448712001","S","24-FEB-12","SIA",NA,NA
"14460","PA3061153","121448714001","S","26-MAR-12","SOX",NA,NA
"14461","PA3061153","162838736001","S","05-AUG-16","SIA",NA,NA
"14462","PA3061153","162838738001","S","05-AUG-16","SOX",NA,NA
