"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"168","PA5040051","191349054004","S","29-MAR-19","SIA",NA,NA
"169","PA5040006","140106024001","S","02-DEC-13","SIA",NA,NA
"170","PA5040006","140106026001","S","09-DEC-13","SOX",NA,NA
"171","PA5040006","141490224002","S","26-FEB-14","SIA",NA,NA
"172","PA5040006","141490226002","S","17-MAR-14","SOX",NA,NA
"173","PA5040006","141623424003","S","25-MAR-14","SIA",NA,NA
"174","PA5040006","141623426003","S","01-APR-14","SOX",NA,NA
"175","PA5040006","151148930001","S","02-MAR-15","SID",NA,NA
"176","PA5040006","151148932001","S","17-MAR-15","SOX",NA,NA
"177","PA5040006","153823124001","S","27-OCT-14","SFJ",NA,NA
"178","PA5040006","153823125001","S","27-OCT-14","SIE",NA,NA
"179","PA5040006","153823126001","S","13-JUL-15","SIF",NA,NA
"180","PA5040006","163595436002","S","29-AUG-16","SFJ",NA,NA
"181","PA5040006","163595438002","S","09-SEP-16","SOX",NA,NA
"182","PA5040006","163823127001","S","19-OCT-15","SOX",NA,NA
"183","PA5040006","172725442001","S","24-JUL-17","SIA",NA,NA
"184","PA5040006","172725444001","S","24-JUL-17","SOX",NA,NA
"185","PA5040006","180256848001","S","30-JAN-18","SIA",NA,NA
"186","PA5040006","180256850001","S","16-MAR-18","SOX",NA,NA
"187","PA5040007","11216006003","S","07-JUN-11","SIA",NA,NA
"188","PA5040007","11216008003","S","15-JUN-11","SOX",NA,NA
"189","PA5040007","120976313001","S","14-FEB-12","SOX",NA,NA
"190","PA5040007","141490324001","S","17-MAR-14","SID",NA,NA
"191","PA5040007","141490326001","S","17-MAR-14","SOX",NA,NA
"192","PA5040007","142839824001","S","18-AUG-14","SID",NA,NA
"193","PA5040007","142839824002","S","18-AUG-14","SID",NA,NA
"194","PA5040007","142839825001","S","18-AUG-14","SIE",NA,NA
"195","PA5040007","142839825002","S","18-AUG-14","SIE",NA,NA
"196","PA5040007","151770231001","S","13-JUL-15","SOX",NA,NA
"197","PA5040007","152839826001","S","27-APR-15","SIF",NA,NA
"198","PA5040007","152839827001","S","27-APR-15","SOX",NA,NA
