GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Reservation with Trust Lands; trust lands only Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Tribal Census Tract Code,Tribal Block Group Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G42001301008002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100800","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1008, Blair County, Pennsylvania",402,99,42,24,23,18,21,0,0,26,38,18,58,19,16,0,0,"Block Group 2, Census Tract 1008, Blair County, Pennsylvania",56,70,40,28,25,20,28,109,109,26,27,19,43,22,17,109,109
"G42001301009001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100900","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1009, Blair County, Pennsylvania",362,19,8,47,29,16,31,24,10,21,32,63,48,14,0,0,0,"Block Group 1, Census Tract 1009, Blair County, Pennsylvania",77,23,13,47,25,20,48,26,16,26,39,40,40,23,109,109,109
"G42001301009002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100900","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1009, Blair County, Pennsylvania",392,7,11,43,67,49,46,18,22,32,15,9,52,7,0,14,0,"Block Group 2, Census Tract 1009, Blair County, Pennsylvania",86,12,18,30,50,32,40,19,27,35,24,12,58,11,109,22,109
"G42001301009003","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100900","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1009, Blair County, Pennsylvania",555,62,48,64,65,52,36,32,8,27,59,66,36,0,0,0,0,"Block Group 3, Census Tract 1009, Blair County, Pennsylvania",110,51,35,61,47,55,25,42,15,30,35,44,53,109,109,109,109
"G42001301009004","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"100900","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1009, Blair County, Pennsylvania",518,35,8,24,38,19,19,53,38,51,95,37,57,33,0,0,11,"Block Group 4, Census Tract 1009, Blair County, Pennsylvania",90,42,14,26,51,22,21,46,29,32,63,33,46,31,109,109,18
"G42001301011001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"101100","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1011, Blair County, Pennsylvania",721,45,29,7,14,67,7,78,23,74,56,157,60,87,0,17,0,"Block Group 1, Census Tract 1011, Blair County, Pennsylvania",21,31,27,10,17,43,12,55,26,58,41,70,34,50,109,25,109
"G42001301012001","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"101200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1012, Blair County, Pennsylvania",287,16,31,8,11,24,25,11,0,22,53,13,38,13,7,0,15,"Block Group 1, Census Tract 1012, Blair County, Pennsylvania",57,25,30,12,18,27,29,17,109,26,35,15,31,20,12,109,17
"G42001301012002","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"101200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1012, Blair County, Pennsylvania",441,0,12,73,22,26,10,51,0,40,35,49,34,17,18,28,26,"Block Group 2, Census Tract 1012, Blair County, Pennsylvania",79,109,16,70,22,31,15,34,109,45,33,33,36,19,21,25,29
"G42001301012003","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"101200","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1012, Blair County, Pennsylvania",481,0,0,33,46,41,11,14,21,34,12,80,121,20,39,0,9,"Block Group 3, Census Tract 1012, Blair County, Pennsylvania",60,109,109,32,38,29,17,13,24,32,20,49,59,24,28,109,15
"G42001301012004","2006-2010",,,"Pennsylvania","42","Blair County","013",,,"101200","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 1012, Blair County, Pennsylvania",446,23,67,104,3,0,13,13,25,29,18,20,85,7,29,5,5,"Block Group 4, Census Tract 1012, Blair County, Pennsylvania",98,17,27,71,5,109,20,19,31,32,23,24,53,12,31,8,8
